mol_id,smiles
1, CN1[C@@H](CSC1[C@H]2CSC(=N2)C3=CC=CC=C3O)C(=O)OC
2, O[C@@]([C@@H](C(CO)=C1)OC(/C(C)=C/C)=O)([C@H](C(C)=C2)O)[C@]32C([C@@H]1C4C(C)(C)C4C[C@H]3C)=O
3,C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2
4,CCN(CC)CCOC(=O)C1=C(C=C(C=C1)N)Cl
5,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
6,CCOC(=O)C1=CC(=CC=C1)N
7,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F
8,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
9,CC(CC[C@]1(C)C2=C3C(O)=C(C[C@H](C)O4)C4=C2O)=C(C)C1=CC3=O
10,CC(C1=O)=C(C)C([C@]2(C)C1)=CC(C3=C2C(O)=C4C(C[C@H](C)O4)=C3O)=O
11,BrC(C=C(CCNC(C)=O)C=C1Br)=C1OCCCNC2=C(N=CN3C)C3=NC=N2
12,BrC(C=C(CCN(C)C(C)=O)C=C1Br)=C1[OH+]CCCNC2=C(N=CN3C)C3=NC=N2
13,BrC(C=C(CC[NH2+]C(C)=O)C=C1Br)=C1OCCCNC2=C(N=CN3C)C3=NC=N2
14,CC1=C(/C(=C/[C@@H](C)CCC/C(=C\CC/C(=C/CCC2=COC=C2)/C)/C)/OC1=O)O
15,CC(=O)O[C@H]1CC(=O)OC([C@H]2[C@]1([C@H]3CC[C@]4([C@@H](OC(=O)[C@@H]5[C@@]4([C@@]3(C(=O)C2)C)O5)C6=COC=C6)C)C)(C)C
16,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C
17,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]1([C@H]([C@]4([C@@H]3O[C@H]5C4=C([C@@H](C5)C6=COC=C6)C)C)CC(=O)OC)C)C)OC(=O)C
18,CN1CCC2=C[C@@H]([C@@H]3[C@H]([C@@H]21)C4=CC5=C(C(=C4C(=O)O3)OC)OCO5)O
19,CN1CCC2=C[C@@H]([C@@H]3[C@H]([C@@H]21)C4=CC5=C(C=C4C(=O)O3)OCO5)O
20,CO[C@@H]1C[C@H]2[C@@]3(C=C1)[C@H](CN2CC4=CC5=C(C=C34)OCO5)O
21,CN1CCC2=CC[C@@H]3[C@H]([C@@H]21)C4=CC(=C(C(=C4C(=O)O3)OC)OC)OC
22,CN1C[C@@]2([C@]3([C@@H]1C[C@@H](C=C3)OC)C4=CC5=C(C=C4CO2)OCO5)O
23,COc1cc2c(cc1OC)[C@@H]1[C@H]3C(=CC[C@@H]1OC2=O)CCN3C
24,CNC1=CC=CC=C1C2=CC3=C(C=C2CO)OCO3
25,COc1c2OCOc2cc2[C@H]3C4N(C)CCC4=C[C@H](OC)[C@H]3OC(=O)c21
26,CN1C[C@H]2[C@]3([C@@H]1C[C@@H](C=C3)OC)C4=CC5=C(C=C4C(=O)O2)OCO5
27,Oc1cc2c(cc1OC)[C@H]1C3C(=CC[C@H]1OC2=O)CCN3C
28,CN1CCC2=CC[C@@H]3[C@H]([C@@H]21)C4=CC(=C(C=C4[C@H](O3)OC)OC)OC
29,CO[C@H]1C[C@H]2[C@@]3(C=C1)[C@H](CN2C(C4=CC5=C(C=C34)OCO5)O)O
30,COc1c2c(cc(OC)c1OC)[C@H]1[C@H]3C(=C[C@H](OC)[C@H]1OC2=O)CC[N+]3(C)[O-]
31,CN1C[C@H]2[C@]3([C@@H]1C[C@@H](C=C3)OC)C4=CC5=C(C=C4[C@@H](O2)O)OCO5
32,O=C(C1=C[NH+](C(CCO)CCC(O)=O)C(/C=C\C(O)=O)=CC1=C2)C3(C)C2=C(C(CCCCCCC)=O)C(O3)=O
33,O=C(C1=C[NH+](C(CCO)CCC(O)=O)C(/C=C/C(O)=O)=CC1=C2)C3(C)C2=C(C(CCCCCCC)=O)C(O3)=O
34,O=C(NC(CCC([NH3+])=O)C(NC(CC(C)C)C(NC(CC(C)C)C(NC(CC)C(NC(CC(O)=O)C(NC(CCC)C(NC(C(CC)C)C(O1)=O)=O)=O)=O)=O)=O)=O)CC1CCCCCCCCCC(C)C
35,O=C(NC(CCC([NH2+])=O)C(NC(CC(C)C)C(NC(CC(C)C)C(NC(CC)C(NC(CC(O)=O)C(NC(CCC)C(NC(C(CC)C)C(O1)=O)=O)=O)=O)=O)=O)=O)CC1CCCCCCCCC(C)CC
36,O=C(NC(CCC([NH2+])=O)C(NC(CC(C)C)C(NC(CC(C)C)C(NC(CC)C(NC(CC(O)=O)C(NC(CCC)C(NC(C(CC)C)C(O1)=O)=O)=O)=O)=O)=O)=O)CC1CCCCCCCCCCCCC
37,O=C(NC(CCC(N)=O)C(NC(CC(C)C)C(NC(CC(C)C)C(NC(CC)C(NC(CC(O)=O)C(NC(CCC)C(NC(C(CC)C)C(O1)=O)=O)=O)=O)=O)=O)=O)CC1CCCCCCCCCCCC(C)C
38,O=C1NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(OC(CCCCCCCCCC(C)C)C1)=O)C(C)CC)=O)CCC)=O)CC(O)=O)=O)CC)=O)CC(C)C)=O)CC(C)C)=O)CCC(N)=O
39,O=C1NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(OC(CCCCCCCCC(CC)C)C1)=O)C(C)CC)=O)CCC)=O)CC(O)=O)=O)CC)=O)CC(C)C)=O)CC(C)C)=O)CCC(N)=O
40,O=C1NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(OC(CCCCCCCCCCCCC)C1)=O)C(C)CC)=O)CCC)=O)CC(O)=O)=O)CC)=O)CC(C)C)=O)CC(C)C)=O)CCC(N)=O
